"videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","canRate","viewerRating","likeCount","publishedAt","updatedAt","id","parentId","moderationStatus"
"j_mVkbaodyo","Bill gates seems knew and predicted the virus and vaccine long before it happened.  So what that makes him?","Bill gates seems knew and predicted the virus and vaccine long before it happened.  So what that makes him?","W T","https://yt3.ggpht.com/ytc/AL5GRJUKPD3X53mRyoaAgUk39-guzQh7YIBoFmRb7Kqx1w=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCivT-XCtd7lY9nufa2P-XkQ","UCivT-XCtd7lY9nufa2P-XkQ","TRUE","none","0","2021-01-30T06:01:05Z","2021-01-30T06:01:05Z","Ugycl1fxkQQinHwgGL14AaABAg",NA,NA
"j_mVkbaodyo","Yo I had this video on mute and heard bill taking through his hands. Shits wack af.","Yo I had this video on mute and heard bill taking through his hands. Shits wack af.","The Biggest Controversy","https://yt3.ggpht.com/ngTzpAzfAnY0ggnBIbOZqO5DNC9ON1Mvrr1nhobbwUJSM65Q3EQc5te0_rv7doQuKBL9vZygoMY=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCnYN5ZOqIn2eiety7FKmpXQ","UCnYN5ZOqIn2eiety7FKmpXQ","TRUE","none","0","2021-01-26T10:20:14Z","2021-01-26T10:20:14Z","UgzkZ-Vs87OVQcahOd14AaABAg",NA,NA
"j_mVkbaodyo","Gates is not to be trusted!  He has lost the plot and his soul. It’s all about profit over health","Gates is not to be trusted!  He has lost the plot and his soul. It’s all about profit over health","Heather Amy","https://yt3.ggpht.com/ytc/AL5GRJVnLKNbaiSI0ISHTAghJvjLcaOtjjsHiwSRhA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCUxMYbRxpDfWHs1CbdkZOsA","UCUxMYbRxpDfWHs1CbdkZOsA","TRUE","none","0","2021-01-23T15:18:40Z","2021-01-23T15:18:40Z","UgwsS4Y3hng6grRWIx54AaABAg",NA,NA
"j_mVkbaodyo","Doctor.. this f... joke","Doctor.. this f... joke","Przemek Zawislak","https://yt3.ggpht.com/ytc/AL5GRJXJWS43G4aT-GE7WDzNgCA9W2kR3HxFDyiwp_759g=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCbYwnY_DNH1y2T_xKjE2zOQ","UCbYwnY_DNH1y2T_xKjE2zOQ","TRUE","none","0","2021-01-22T03:07:57Z","2021-01-22T03:07:57Z","UgwDPUx09tF1ecNFBD94AaABAg",NA,NA
"j_mVkbaodyo","This men should go for pension","This men should go for pension","Przemek Zawislak","https://yt3.ggpht.com/ytc/AL5GRJXJWS43G4aT-GE7WDzNgCA9W2kR3HxFDyiwp_759g=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCbYwnY_DNH1y2T_xKjE2zOQ","UCbYwnY_DNH1y2T_xKjE2zOQ","TRUE","none","0","2021-01-22T03:07:38Z","2021-01-22T03:07:38Z","Ugw4NcnScdZ13GN5VZ54AaABAg",NA,NA
"j_mVkbaodyo","ask Bll if his kids will get the vaccine. Ask him if they have ever been vaccinated.","ask Bll if his kids will get the vaccine. Ask him if they have ever been vaccinated.","Sarah Jackson","https://yt3.ggpht.com/ytc/AL5GRJWiaTtCUm4ySU7rpb45nAWd_SzYSY39_SpUcaQy=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCzkd-AVcELwsJ8mVQBmuBTA","UCzkd-AVcELwsJ8mVQBmuBTA","TRUE","none","0","2021-01-18T05:54:52Z","2021-01-18T05:54:52Z","UgwcVEKpchC3c6F9fl14AaABAg",NA,NA
"j_mVkbaodyo","ARREST BILL GATES!","ARREST BILL GATES!","Michael SicilianoTV","https://yt3.ggpht.com/ytc/AL5GRJWANMy6NsBDYlzeX9AwUEC3ymeJztTSAvhLb3n4=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCze9A35CC3HBr36k-2Fi-xA","UCze9A35CC3HBr36k-2Fi-xA","TRUE","none","0","2021-01-05T12:56:38Z","2021-01-05T12:56:38Z","UgxKelyyO68CSWtX6oV4AaABAg",NA,NA
"j_mVkbaodyo","Elon musk <a href=""https://www.youtube.com/watch?v=j_mVkbaodyo&amp;t=32m40s"">32:40</a>","Elon musk 32:40","Mehtab Mohammed","https://yt3.ggpht.com/ytc/AL5GRJWDkTcDeydqeRdeVqXxVZUBZYsXhYPwT5imt5ASNA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC2S-1nsWcAO0dWSjFGj0-0w","UC2S-1nsWcAO0dWSjFGj0-0w","TRUE","none","0","2021-01-03T05:03:27Z","2021-01-03T05:03:27Z","Ugw4Wu_aMHt4ZdgILLN4AaABAg",NA,NA
"j_mVkbaodyo","I would  like to have an answer to why this is not being addressed? Adverse drug events cause approximately 1.3 million emergency department visits each year. About 350,000 patients each year need to be hospitalized for further treatment after emergency visits for adverse drug events. Approximately 250.000 deaths. I know too many people who got well and are living happy productive lives after they stopped taking the 8-12 different  medications thier doctor said they needed. This is a pandemic every outbreak Spanish flu ext had a new breakthrough vaccine just before  the virus hits. They are already predicting it .","I would  like to have an answer to why this is not being addressed? Adverse drug events cause approximately 1.3 million emergency department visits each year. About 350,000 patients each year need to be hospitalized for further treatment after emergency visits for adverse drug events. Approximately 250.000 deaths. I know too many people who got well and are living happy productive lives after they stopped taking the 8-12 different  medications thier doctor said they needed. This is a pandemic every outbreak Spanish flu ext had a new breakthrough vaccine just before  the virus hits. They are already predicting it .","Darren Parker","https://yt3.ggpht.com/ytc/AL5GRJW07oWXLtyClK45ZcaJx83kSK82JmgAAUok-Q=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCk3ZoSo9bdyhDFZom2bEPRw","UCk3ZoSo9bdyhDFZom2bEPRw","TRUE","none","0","2020-12-26T19:26:57Z","2020-12-26T19:26:57Z","Ugyn1VZ8h8Khw3SZ3Od4AaABAg",NA,NA
"j_mVkbaodyo","He seems nervous and his body language and the Ughs..he’s nervous because he doesn’t want to show that he is running a scam. He seems like he is going to 💩 his pants.","He seems nervous and his body language and the Ughs..he’s nervous because he doesn’t want to show that he is running a scam. He seems like he is going to 💩 his pants.","Pancho Villa","https://yt3.ggpht.com/ytc/AL5GRJXQyq-NE6E0xc1z4w4wLA928NeEWfxgs6HtOt6h=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCAgs4RVZ6oKCgTB0_asMjpQ","UCAgs4RVZ6oKCgTB0_asMjpQ","TRUE","none","0","2020-12-19T21:31:15Z","2020-12-19T21:35:19Z","UgzweYxE4aFCgKijxSd4AaABAg",NA,NA
